sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level,risk_label
GYMNASTICS,99.23,93.83,121.95,163.31,36.48,148.22,79.8,0,1,1,1,1,moderate
CYCLING,143.49,153.38,117.39,69.47,19.21,178.91,91.17,0,0,0,0,0,low
TENNIS,122.0,134.36,83.11,167.31,29.89,165.9,66.97,0,0,0,1,1,moderate
OTHER,155.76,155.93,124.21,93.5,13.2,169.27,87.14,0,0,0,0,0,low
BASKETBALL,122.9,147.57,109.35,113.7,16.41,164.88,84.85,0,1,1,0,1,moderate
GYMNASTICS,100.81,104.22,152.23,155.13,36.46,168.68,83.83,0,0,1,0,0,low
AMERICAN_FOOTBALL,84.96,102.23,58.22,149.91,65.53,147.61,46.01,1,1,1,1,3,critical
VOLLEYBALL,130.59,154.16,109.7,142.38,11.87,171.57,91.69,0,0,0,0,0,low
BADMINTON,114.93,131.98,89.25,154.54,31.45,158.27,86.1,0,1,1,0,1,moderate
VOLLEYBALL,105.46,128.73,99.31,159.19,23.3,155.8,68.18,0,1,0,1,1,moderate
BOXING,159.82,152.24,169.24,108.12,20.91,167.58,84.11,0,0,0,0,0,low
GYMNASTICS,82.19,93.51,124.77,163.31,33.25,154.51,72.74,0,1,1,1,1,moderate
BASKETBALL,79.18,121.49,60.98,144.84,50.21,144.53,56.6,1,1,1,1,3,critical
OTHER,69.82,95.5,58.53,152.75,37.38,145.88,51.13,1,1,1,1,3,critical
SWIMMING,99.12,128.37,62.41,174.22,31.07,159.07,68.85,0,1,1,1,2,high
VOLLEYBALL,117.75,167.95,123.03,118.16,21.13,174.91,94.48,0,0,0,0,0,low
OTHER,77.65,95.55,63.68,141.0,39.88,142.5,60.32,1,1,1,1,3,critical
OTHER,75.12,103.99,79.32,163.2,35.98,148.9,56.18,1,1,1,1,3,critical
CYCLING,134.92,160.67,117.35,62.93,13.24,175.67,85.56,0,0,0,0,0,low
BASEBALL,78.09,96.91,42.35,185.0,59.42,145.44,39.02,1,1,1,1,3,critical
WRESTLING,107.27,128.24,105.76,110.77,29.26,170.68,75.9,0,0,0,1,0,low
TENNIS,84.75,116.63,73.68,184.21,45.62,150.05,43.94,1,1,1,1,3,critical
BADMINTON,145.17,151.85,140.32,153.03,24.95,169.39,89.65,0,0,0,0,0,low
TRACK,136.03,162.29,73.85,71.25,7.71,171.94,93.13,0,0,0,0,0,low
BADMINTON,88.29,128.06,67.29,174.19,28.97,153.9,47.58,0,1,1,1,2,high
CYCLING,102.25,112.46,92.68,95.61,45.58,158.28,69.6,1,1,1,1,2,high
TENNIS,105.71,129.95,78.77,176.47,31.82,160.06,66.06,1,1,1,1,2,high
CRICKET,103.4,121.7,96.55,158.62,31.95,164.47,65.38,0,1,1,1,1,moderate
CYCLING,117.58,148.78,117.08,101.26,31.78,166.89,67.74,0,0,1,1,1,moderate
BASEBALL,153.31,163.62,101.7,166.31,22.26,171.71,80.24,0,0,0,0,0,low
BOXING,142.85,158.91,174.63,91.32,10.73,171.38,76.74,0,0,0,1,0,low
SOCCER,95.23,118.92,93.99,97.32,24.82,159.06,76.63,0,1,0,1,2,high
BOXING,103.95,123.68,98.34,123.46,33.98,159.7,62.0,1,1,1,1,2,high
SWIMMING,82.28,106.04,45.82,178.4,45.45,143.04,48.69,1,1,1,1,3,critical
WRESTLING,97.14,117.48,87.36,137.29,45.69,162.45,58.34,0,1,1,1,1,moderate
WRESTLING,55.06,62.59,39.62,153.61,60.43,144.02,48.81,0,1,1,1,3,critical
BASKETBALL,141.45,162.57,104.25,97.46,17.32,173.16,96.36,0,0,0,0,0,low
WRESTLING,87.71,105.9,96.28,129.0,49.09,164.15,76.41,0,1,1,1,1,moderate
SOCCER,90.26,134.3,100.15,120.08,34.98,164.57,66.69,1,1,1,1,2,high
BADMINTON,124.25,151.01,135.27,167.91,15.21,171.58,90.28,0,0,0,0,0,low
CRICKET,138.65,171.19,120.87,159.92,14.92,166.39,90.0,0,0,0,0,0,low
TRACK,161.47,155.0,88.63,56.13,5.2,175.11,93.09,0,0,0,0,0,low
VOLLEYBALL,82.15,111.88,82.85,173.37,31.84,154.77,67.3,1,1,1,1,2,high
BOXING,95.28,102.08,96.65,145.48,48.19,147.24,33.92,1,1,1,1,3,critical
OTHER,73.14,115.33,62.12,175.01,46.09,155.16,48.57,0,1,1,1,3,critical
WRESTLING,90.02,113.28,90.13,110.72,53.35,156.07,62.57,0,1,1,1,1,moderate
VOLLEYBALL,92.09,127.43,81.43,162.97,32.09,143.15,64.46,0,1,1,1,2,high
OTHER,146.68,149.61,124.28,95.37,14.1,172.24,74.74,0,0,0,1,0,low
SWIMMING,110.75,125.16,71.71,183.78,23.41,158.34,64.27,0,1,0,1,2,high
BASEBALL,78.77,99.32,35.62,184.55,58.44,154.05,35.14,1,1,1,1,3,critical
BASKETBALL,124.49,144.63,75.09,122.17,27.45,163.92,83.59,0,1,0,0,1,moderate
AMERICAN_FOOTBALL,137.96,142.43,104.0,110.69,29.82,172.78,93.71,0,0,0,0,0,low
CRICKET,57.82,87.27,58.63,184.15,54.98,139.62,48.23,1,1,1,1,3,critical
SWIMMING,147.96,161.72,124.57,162.53,12.48,178.82,95.34,0,0,0,0,0,low
BOXING,133.38,131.1,139.79,126.79,27.31,159.39,77.19,0,1,0,1,1,moderate
SWIMMING,93.41,115.31,28.74,180.48,47.28,149.01,50.23,1,1,1,1,3,critical
WRESTLING,81.05,110.46,104.01,131.26,45.53,158.94,64.62,0,1,1,1,1,moderate
SOCCER,101.58,131.49,113.09,114.88,28.33,159.52,71.29,0,1,1,1,2,high
TENNIS,99.82,109.46,60.24,185.0,42.34,142.11,33.82,0,1,1,1,3,critical
CYCLING,96.41,118.35,62.61,121.47,57.66,151.88,59.93,1,1,1,1,3,critical
TRACK,124.82,145.14,86.41,75.14,13.5,159.85,85.08,0,1,0,0,1,moderate
TENNIS,132.79,161.29,124.37,151.24,16.82,169.93,81.07,0,0,0,0,0,low
CRICKET,105.56,158.2,107.68,161.17,12.7,171.09,76.05,0,0,0,1,0,low
RUGBY,84.91,109.08,68.12,133.05,46.8,156.01,64.43,1,1,1,1,2,high
BOXING,130.77,129.41,139.73,116.89,25.58,168.83,75.66,0,0,0,1,1,moderate
BOXING,159.33,150.62,148.76,111.31,19.28,168.51,84.3,0,0,0,0,0,low
BASKETBALL,83.37,123.22,69.6,104.3,37.14,157.99,77.59,0,1,1,1,2,high
GYMNASTICS,62.95,67.72,97.95,185.0,49.37,145.82,59.46,1,1,1,1,2,high
TRACK,143.65,158.98,93.82,58.63,5.93,172.95,94.23,0,0,0,0,0,low
WRESTLING,75.35,95.76,95.95,121.68,52.4,151.74,67.29,0,1,1,1,1,moderate
CYCLING,79.17,104.2,52.01,128.51,52.2,146.82,53.52,1,1,1,1,3,critical
BASEBALL,155.59,152.0,95.59,155.08,24.49,169.41,79.3,0,0,0,1,0,low
RUGBY,88.68,114.03,70.2,123.85,55.28,150.82,57.32,1,1,1,1,2,high
SOCCER,128.39,162.55,133.88,72.26,15.95,169.33,91.2,0,0,0,0,0,low
RUGBY,131.87,142.71,116.3,81.23,20.33,169.62,95.05,0,0,0,0,0,low
CYCLING,87.91,91.92,60.2,121.09,46.87,149.2,47.64,0,1,1,1,3,critical
BADMINTON,72.4,107.57,54.8,180.64,47.69,144.07,46.28,1,1,1,1,3,critical
TRACK,124.71,154.84,71.62,81.85,16.75,166.74,86.64,0,0,0,0,1,moderate
AMERICAN_FOOTBALL,127.25,145.98,81.54,114.6,37.3,162.46,75.91,0,1,1,1,1,moderate
GYMNASTICS,27.12,41.97,87.88,185.0,72.63,133.09,55.66,1,1,1,1,3,critical
AMERICAN_FOOTBALL,73.42,98.75,50.71,153.84,74.66,142.35,56.68,1,1,1,1,3,critical
CYCLING,124.69,139.28,102.99,79.18,31.06,165.77,89.51,0,0,1,0,1,moderate
CYCLING,82.82,101.3,57.65,115.44,60.77,150.51,48.77,1,1,1,1,3,critical
CRICKET,143.4,127.99,115.93,142.41,16.62,168.85,79.37,0,0,0,1,0,low
WRESTLING,81.3,104.77,103.82,135.05,48.41,162.5,66.06,0,1,1,1,1,moderate
VOLLEYBALL,68.09,92.3,56.75,167.73,42.36,143.36,48.96,0,1,1,1,3,critical
SOCCER,81.65,133.12,84.39,105.9,40.81,148.75,42.24,1,1,1,1,3,critical
OTHER,96.76,116.57,75.83,135.07,21.02,155.05,65.49,0,1,0,1,2,high
CYCLING,89.4,111.03,66.26,115.25,49.55,145.97,44.41,0,1,1,1,3,critical
BOXING,113.85,134.43,155.48,128.52,24.21,168.21,71.49,0,0,0,1,1,moderate
GYMNASTICS,73.0,81.43,117.65,171.94,32.4,159.7,78.49,0,1,1,1,1,moderate
VOLLEYBALL,62.38,115.06,75.36,175.3,43.86,146.77,44.19,1,1,1,1,3,critical
SWIMMING,152.79,162.42,117.48,146.9,5.02,178.17,90.81,0,0,0,0,0,low
TRACK,121.27,139.68,72.88,91.35,17.2,169.42,77.3,0,0,0,1,1,moderate
WRESTLING,48.56,71.42,73.42,148.49,61.7,150.08,41.18,1,1,1,1,2,high
RUGBY,126.27,146.64,94.96,114.46,20.41,168.09,84.88,0,0,0,0,0,low
VOLLEYBALL,71.08,108.95,51.01,170.06,50.79,142.6,69.37,1,1,1,1,3,critical
RUGBY,82.0,107.02,76.74,144.93,46.34,147.87,56.89,1,1,1,1,2,high
WRESTLING,50.13,80.87,44.98,171.55,69.52,146.43,38.52,1,1,1,1,3,critical
WRESTLING,79.6,116.6,110.84,143.14,47.93,161.56,72.69,0,1,1,1,1,moderate
BADMINTON,112.45,142.58,110.45,156.62,29.62,161.86,73.37,0,1,0,1,1,moderate
AMERICAN_FOOTBALL,125.16,140.65,122.25,80.35,18.57,162.07,92.69,0,1,0,0,0,low
HOCKEY,115.69,122.0,104.72,81.34,27.65,175.1,93.07,0,0,0,0,0,low
OTHER,98.38,120.47,81.92,146.25,27.72,154.19,63.11,0,1,0,1,2,high
AMERICAN_FOOTBALL,115.04,137.6,86.89,115.07,44.99,165.52,81.01,0,0,1,0,1,moderate
RUGBY,60.01,94.5,55.21,180.0,60.19,145.04,40.88,1,1,1,1,3,critical
BASKETBALL,71.32,119.89,62.63,137.52,39.26,154.05,57.27,1,1,1,1,3,critical
BASEBALL,119.01,148.45,85.82,167.36,28.2,159.3,70.17,0,1,0,1,1,moderate
BASKETBALL,63.92,104.21,57.59,146.61,42.85,151.52,52.43,1,1,1,1,3,critical
CRICKET,103.55,136.13,84.59,176.9,33.76,166.55,75.72,0,0,1,1,1,moderate
RUGBY,67.86,91.13,39.9,159.58,67.65,152.57,51.17,0,1,1,1,3,critical
VOLLEYBALL,123.24,129.38,93.35,139.42,17.86,159.68,70.31,0,1,1,1,1,moderate
HOCKEY,81.66,73.06,66.54,142.13,60.11,140.73,44.56,1,1,1,1,3,critical
BASEBALL,78.77,101.0,33.99,183.33,56.48,154.47,42.37,0,1,1,1,3,critical
HOCKEY,89.05,104.61,76.54,150.57,50.71,155.82,61.82,0,1,1,1,2,high
RUGBY,129.99,151.77,116.39,95.29,16.54,172.2,92.91,0,0,0,0,0,low
CRICKET,105.89,123.54,101.24,172.23,29.11,163.38,72.69,0,1,1,1,1,moderate
TRACK,103.94,131.97,57.52,78.69,31.35,162.12,63.69,1,1,1,1,2,high
AMERICAN_FOOTBALL,143.89,153.1,127.27,98.55,13.73,171.82,87.04,0,0,0,0,0,low
HOCKEY,121.2,113.83,89.76,105.47,43.85,166.78,75.75,0,0,1,1,1,moderate
OTHER,74.81,104.58,59.1,143.98,31.15,151.62,53.16,0,1,1,1,3,critical
BASEBALL,119.53,126.45,49.21,185.0,36.4,151.76,65.74,1,1,1,1,2,high
TENNIS,80.19,120.87,58.18,180.54,41.94,147.91,41.2,1,1,1,1,3,critical
AMERICAN_FOOTBALL,100.74,122.55,75.68,128.94,53.21,154.76,54.76,1,1,1,1,2,high
RUGBY,129.26,145.64,111.27,78.68,17.22,168.53,86.36,0,0,0,0,0,low
OTHER,92.94,113.56,91.21,123.77,23.51,159.75,66.94,0,1,0,1,2,high
AMERICAN_FOOTBALL,80.15,91.43,54.1,137.79,63.9,136.99,50.4,0,1,1,1,3,critical
SWIMMING,92.87,107.58,53.68,180.95,38.71,150.02,57.85,1,1,1,1,3,critical
BADMINTON,109.35,142.18,90.71,153.63,21.03,164.45,72.92,0,1,0,1,1,moderate
CYCLING,112.6,131.2,112.21,98.18,31.59,166.59,81.08,0,0,1,0,1,moderate
TRACK,137.29,155.8,86.19,62.96,11.15,177.8,93.52,0,0,0,0,0,low
CRICKET,61.48,88.73,41.27,181.63,57.72,152.55,54.56,1,1,1,1,3,critical
CYCLING,138.54,157.05,141.76,80.68,18.09,169.84,88.16,0,0,0,0,0,low
SOCCER,146.13,162.47,151.02,92.93,9.28,174.93,87.45,0,0,0,0,0,low
BADMINTON,96.69,120.1,77.29,174.34,42.47,158.71,66.65,1,1,1,1,2,high
SOCCER,126.9,147.8,108.86,92.13,20.5,164.59,79.34,0,1,0,1,1,moderate
TENNIS,137.0,160.85,126.17,153.35,27.89,169.35,85.34,0,0,0,0,0,low
TRACK,135.03,163.47,104.75,55.37,15.72,176.81,90.25,0,0,0,0,0,low
BASKETBALL,86.74,120.76,90.83,124.5,33.39,158.62,61.58,0,1,1,1,2,high
BASEBALL,108.86,124.93,59.47,178.99,38.72,157.8,67.97,0,1,1,1,2,high
WRESTLING,113.46,120.08,98.87,115.0,39.86,164.66,77.76,0,1,1,1,0,low
BADMINTON,133.66,164.87,103.02,147.09,18.77,170.4,86.51,0,0,0,0,0,low
RUGBY,81.33,94.63,58.95,159.32,61.9,145.7,47.99,0,1,1,1,3,critical
RUGBY,131.06,131.34,107.15,113.79,13.42,167.54,88.46,0,0,0,0,0,low
RUGBY,86.6,110.8,82.06,147.56,45.85,147.26,58.98,0,1,1,1,2,high
HOCKEY,99.45,100.36,66.94,131.04,56.37,156.82,59.42,1,1,1,1,2,high
CRICKET,120.09,151.04,106.91,150.82,18.31,170.36,88.94,0,0,0,0,0,low
HOCKEY,69.75,84.89,58.18,143.65,62.11,150.67,46.14,0,1,1,1,3,critical
TENNIS,120.91,139.22,106.77,166.44,28.81,166.17,71.57,0,0,0,1,1,moderate
VOLLEYBALL,96.74,125.72,90.79,155.6,23.71,156.3,60.59,0,1,1,1,2,high
BADMINTON,102.15,122.99,77.22,164.16,38.48,157.06,42.19,0,1,1,1,2,high
BOXING,100.27,123.99,120.74,120.66,37.17,157.21,62.11,0,1,1,1,2,high
BADMINTON,133.45,149.68,129.87,166.51,14.9,174.16,81.81,0,0,0,0,0,low
BOXING,91.54,115.91,93.4,143.34,52.92,148.84,45.65,1,1,1,1,3,critical
AMERICAN_FOOTBALL,104.3,126.49,106.18,95.2,32.32,162.16,72.7,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,71.14,81.89,44.02,165.53,70.68,154.45,41.52,1,1,1,1,3,critical
RUGBY,105.96,127.19,87.27,98.32,38.44,162.03,72.3,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,128.48,156.56,111.71,86.6,25.36,169.92,87.21,0,0,0,0,0,low
VOLLEYBALL,120.76,159.26,122.41,128.82,18.13,168.41,91.46,0,0,0,0,0,low
RUGBY,79.1,82.69,45.48,164.46,69.2,138.89,36.56,0,1,1,1,3,critical
TRACK,140.38,161.5,81.5,59.05,4.47,176.52,95.19,0,0,0,0,0,low
CRICKET,91.98,135.3,95.65,177.04,17.87,161.58,66.42,0,1,0,1,1,moderate
BADMINTON,110.84,126.83,82.91,171.5,31.04,150.12,68.98,0,1,1,1,2,high
HOCKEY,87.58,115.18,65.36,140.9,56.99,161.76,69.37,0,1,1,1,2,high
TENNIS,146.53,157.93,127.95,156.48,17.08,176.01,84.32,0,0,0,0,0,low
WRESTLING,72.42,95.22,62.51,146.25,71.46,146.29,57.85,0,1,1,1,2,high
OTHER,131.3,140.6,103.25,140.8,25.77,158.8,75.4,0,1,0,1,1,moderate
RUGBY,108.55,152.68,95.09,104.17,29.1,168.73,82.24,0,0,0,0,1,moderate
CRICKET,127.89,146.06,133.12,143.53,19.54,171.29,80.95,0,0,0,0,0,low
TENNIS,147.33,152.08,107.82,156.2,14.3,171.36,77.43,0,0,0,1,0,low
BOXING,83.54,92.71,80.17,160.25,41.44,147.32,39.98,1,1,1,1,3,critical
OTHER,100.83,113.18,73.08,146.33,44.61,166.26,65.43,1,1,1,1,2,high
BOXING,124.21,145.89,148.1,121.58,26.14,165.91,70.94,0,0,1,1,1,moderate
SOCCER,121.84,139.38,129.01,92.82,22.05,170.77,77.12,0,0,1,1,1,moderate
BASKETBALL,102.99,144.26,91.94,107.85,29.71,167.98,84.51,0,0,1,0,1,moderate
OTHER,100.91,123.36,92.2,135.4,23.07,160.34,47.45,1,1,0,1,2,high
BASEBALL,155.61,153.98,85.69,175.37,23.63,168.96,82.43,0,0,0,0,0,low
CYCLING,111.88,124.11,95.68,107.94,36.68,157.1,62.03,1,1,1,1,2,high
CRICKET,109.65,155.8,120.25,149.3,18.62,168.56,74.62,0,0,0,1,0,low
BOXING,92.77,110.55,85.09,163.24,46.64,144.61,35.89,0,1,1,1,3,critical
RUGBY,77.35,93.9,40.51,169.85,66.83,146.33,52.66,1,1,1,1,3,critical
SOCCER,104.28,129.26,130.69,117.67,29.48,160.32,52.46,1,1,0,1,2,high
OTHER,105.73,122.11,72.51,134.66,28.74,164.78,70.77,1,1,0,1,2,high
AMERICAN_FOOTBALL,96.66,138.3,97.52,112.15,40.78,157.54,68.33,0,1,1,1,1,moderate
SWIMMING,91.28,114.59,43.03,176.58,47.87,143.36,56.57,1,1,1,1,3,critical
OTHER,122.53,136.52,108.79,118.28,18.61,164.79,77.78,0,1,0,1,1,moderate
BASKETBALL,99.78,149.25,112.7,97.55,28.79,164.57,82.09,0,1,0,0,1,moderate
SWIMMING,97.1,115.16,48.88,180.74,41.08,145.79,64.74,0,1,1,1,3,critical
BADMINTON,104.36,130.15,101.32,165.21,26.68,163.44,65.75,0,1,0,1,1,moderate
OTHER,79.94,94.8,63.01,156.04,48.73,144.77,45.51,1,1,1,1,3,critical
BOXING,123.22,137.08,135.52,142.47,22.56,166.35,72.6,0,0,0,1,1,moderate
GYMNASTICS,90.32,65.19,124.95,178.51,46.89,160.89,80.53,0,1,1,0,1,moderate
CRICKET,115.26,155.54,113.43,165.68,16.52,172.64,78.21,0,0,0,1,0,low
AMERICAN_FOOTBALL,120.42,134.43,98.68,109.73,43.2,157.86,75.0,0,1,1,1,1,moderate
BASEBALL,136.36,136.41,60.36,170.76,31.54,158.75,71.64,0,1,1,1,1,moderate
SOCCER,81.55,117.02,90.23,114.18,38.8,142.31,53.19,1,1,1,1,3,critical
OTHER,137.83,156.56,107.95,116.61,15.48,167.07,84.15,0,0,0,0,0,low
CYCLING,85.3,95.23,73.8,128.96,60.53,140.52,49.08,1,1,1,1,3,critical
GYMNASTICS,36.67,57.37,77.61,185.0,75.63,138.46,47.69,1,1,1,1,3,critical
OTHER,129.46,129.28,118.12,120.35,18.52,164.43,75.2,0,1,0,1,1,moderate
TENNIS,152.58,157.72,135.28,157.13,17.48,169.53,79.2,0,0,0,1,0,low
OTHER,76.67,97.69,57.72,163.82,40.38,151.53,47.16,1,1,1,1,3,critical
TRACK,132.29,145.89,74.04,84.15,18.45,168.79,79.8,0,0,0,1,1,moderate
AMERICAN_FOOTBALL,86.77,108.33,58.97,138.05,50.5,155.22,62.27,0,1,1,1,2,high
RUGBY,102.13,110.11,58.05,126.96,55.73,161.78,57.76,0,1,1,1,2,high
RUGBY,124.85,145.18,129.37,97.63,26.23,168.27,81.79,0,0,0,0,0,low
HOCKEY,79.88,75.79,48.1,136.94,72.15,143.56,51.0,1,1,1,1,3,critical
HOCKEY,82.39,117.53,84.29,127.34,47.91,149.8,55.34,1,1,1,1,2,high
TRACK,109.5,136.31,52.71,100.62,20.58,161.37,73.51,1,1,0,1,2,high
HOCKEY,63.56,79.1,51.28,132.62,58.03,158.6,42.03,1,1,1,1,3,critical
BASEBALL,78.36,92.73,33.44,181.17,45.95,145.63,49.39,0,1,1,1,3,critical
AMERICAN_FOOTBALL,112.64,131.12,75.5,106.96,47.4,158.54,78.97,0,1,1,1,1,moderate
VOLLEYBALL,96.74,120.89,79.87,150.63,39.15,150.81,67.75,1,1,1,1,2,high
TENNIS,94.88,126.69,84.48,181.15,41.83,153.5,46.39,1,1,1,1,2,high
RUGBY,135.65,157.16,108.78,100.46,25.87,167.51,91.03,0,0,0,0,0,low
CRICKET,124.35,148.4,119.24,149.1,16.29,170.43,90.01,0,0,0,0,0,low
SWIMMING,124.27,141.49,96.23,158.62,22.86,164.99,80.48,0,1,0,0,1,moderate
BASEBALL,95.73,124.9,60.33,178.97,41.93,151.72,62.95,1,1,1,1,2,high
VOLLEYBALL,89.01,115.02,92.63,175.74,29.86,160.17,70.69,1,1,0,1,2,high
SWIMMING,110.13,131.07,74.41,177.03,28.52,158.65,73.2,1,1,0,1,2,high
TENNIS,91.38,119.05,73.04,182.12,34.49,159.51,71.03,1,1,1,1,2,high
RUGBY,83.05,109.99,56.59,150.73,43.1,147.94,49.35,1,1,1,1,2,high
SWIMMING,105.72,126.06,62.26,181.47,22.39,153.22,72.21,1,1,1,1,2,high
SOCCER,137.37,162.63,147.0,65.73,11.11,173.8,89.26,0,0,0,0,0,low
CRICKET,138.55,155.17,111.63,150.8,29.62,174.11,78.05,0,0,0,1,0,low
RUGBY,141.5,151.53,128.81,96.93,30.03,171.43,89.94,0,0,1,0,0,low
RUGBY,133.38,129.48,127.23,115.91,20.87,172.19,92.74,0,0,0,0,0,low
CYCLING,96.0,118.98,76.0,99.49,33.02,158.25,68.24,0,1,1,1,2,high
SOCCER,121.47,146.68,127.15,82.55,22.77,164.4,86.04,0,1,0,0,1,moderate
SOCCER,138.38,154.47,144.6,58.03,8.99,173.57,99.51,0,0,0,0,0,low
BOXING,111.98,113.58,113.45,135.64,34.0,154.2,57.19,0,1,1,1,2,high
BADMINTON,103.11,142.67,95.66,153.05,22.04,163.68,74.46,0,1,0,1,1,moderate
SOCCER,113.59,146.03,116.48,92.48,27.65,170.55,79.22,0,0,0,1,1,moderate
TENNIS,139.57,163.14,120.79,142.27,9.76,178.51,79.01,0,0,0,1,0,low
HOCKEY,111.99,115.88,91.16,116.18,43.38,171.16,65.2,0,0,1,1,1,moderate
SWIMMING,95.29,138.16,68.63,173.86,27.31,150.58,66.78,1,1,1,1,2,high
SWIMMING,94.33,128.63,45.3,176.0,44.73,146.76,54.95,0,1,1,1,3,critical
HOCKEY,98.62,115.06,73.31,130.38,39.04,159.67,58.65,0,1,1,1,2,high
BASKETBALL,79.2,112.92,62.27,160.07,38.6,152.77,52.36,1,1,1,1,3,critical
BADMINTON,142.3,165.14,124.99,141.58,10.16,167.82,89.86,0,0,0,0,0,low
CYCLING,114.65,131.23,109.29,87.28,31.61,163.16,84.41,0,1,1,0,1,moderate
TRACK,82.79,118.97,27.43,123.27,37.12,154.38,53.33,0,1,1,1,3,critical
AMERICAN_FOOTBALL,75.61,92.09,63.78,152.02,60.12,132.01,44.26,1,1,1,1,3,critical
CRICKET,72.45,104.83,68.22,184.97,64.4,141.25,39.6,0,1,1,1,3,critical
CYCLING,104.79,123.86,94.54,96.27,37.87,161.42,67.31,0,1,1,1,2,high
OTHER,69.71,96.32,64.46,157.68,40.92,150.27,48.04,1,1,1,1,3,critical
TRACK,123.73,143.8,83.65,95.19,12.36,169.2,83.42,0,0,0,0,1,moderate
BASEBALL,97.85,104.57,48.98,185.0,53.5,142.78,35.96,1,1,1,1,3,critical
GYMNASTICS,47.66,59.65,58.49,183.8,78.7,128.45,56.83,1,1,1,1,3,critical
SWIMMING,129.94,149.54,101.51,166.0,20.99,163.21,78.37,0,1,0,1,1,moderate
OTHER,142.28,156.34,127.29,87.16,10.76,174.54,86.96,0,0,0,0,0,low
BOXING,116.72,117.49,132.89,119.43,37.63,156.12,59.98,1,1,1,1,2,high
CRICKET,131.63,168.38,111.28,154.12,13.24,167.79,90.14,0,0,0,0,0,low
OTHER,85.04,99.41,70.24,151.71,43.6,145.59,41.53,1,1,1,1,3,critical
WRESTLING,65.87,84.12,54.96,174.64,49.23,150.51,56.04,0,1,1,1,2,high
BADMINTON,125.73,130.74,100.18,174.91,25.26,159.59,66.73,0,1,1,1,1,moderate
OTHER,105.34,127.12,78.83,128.18,20.66,157.81,62.17,1,1,0,1,2,high
VOLLEYBALL,101.62,137.78,112.31,145.91,19.11,168.28,76.6,0,0,0,1,1,moderate
TRACK,131.38,148.84,73.45,89.84,14.82,169.01,85.94,0,0,0,0,1,moderate
SOCCER,127.71,146.63,123.85,84.97,16.46,166.82,77.32,0,0,0,1,1,moderate
TRACK,118.95,145.58,72.12,72.89,19.34,164.16,83.08,0,1,0,0,1,moderate
GYMNASTICS,46.14,43.57,79.5,185.0,74.19,144.71,52.39,1,1,1,1,3,critical
BOXING,83.76,100.79,85.98,142.12,51.72,146.98,48.55,1,1,1,1,3,critical
AMERICAN_FOOTBALL,77.79,103.13,37.33,171.61,60.34,146.35,44.5,1,1,1,1,3,critical
BASEBALL,150.16,158.03,113.12,155.99,18.55,169.41,87.01,0,0,0,0,0,low
BOXING,88.55,112.49,98.44,169.06,43.89,142.83,48.62,1,1,1,1,3,critical
CYCLING,145.39,159.1,157.08,62.41,16.0,171.27,94.69,0,0,0,0,0,low
TENNIS,101.46,127.83,91.47,178.96,31.55,153.46,55.41,1,1,1,1,2,high
BASKETBALL,100.55,119.92,99.35,119.95,37.42,155.11,62.77,0,1,1,1,2,high
SWIMMING,128.72,162.37,82.81,155.02,22.73,164.21,78.81,0,1,0,1,1,moderate
BADMINTON,136.01,164.52,123.38,131.4,15.33,172.01,93.15,0,0,0,0,0,low
AMERICAN_FOOTBALL,135.04,148.23,126.8,99.49,28.58,167.71,94.42,0,0,0,0,0,low
CYCLING,104.07,124.49,92.92,86.89,44.39,159.29,64.25,1,1,1,1,2,high
BASEBALL,81.75,101.87,41.72,184.84,57.31,146.79,37.95,1,1,1,1,3,critical
BOXING,135.73,127.36,128.04,115.47,22.6,166.58,69.9,0,0,0,1,1,moderate
GYMNASTICS,75.96,80.47,98.51,185.0,56.51,152.9,59.2,1,1,1,1,2,high
TRACK,144.98,171.79,88.69,60.87,11.37,174.86,89.24,0,0,0,0,0,low
SOCCER,94.69,127.54,96.2,101.99,28.88,159.38,64.78,0,1,1,1,2,high
CYCLING,104.12,115.39,85.32,96.04,45.88,158.49,72.03,0,1,1,1,2,high
TENNIS,117.51,144.27,104.08,170.55,31.03,164.93,80.0,0,1,1,0,1,moderate
BASKETBALL,135.66,151.06,127.59,101.67,14.49,167.29,89.09,0,0,0,0,0,low
OTHER,136.98,158.43,121.1,94.7,12.97,173.05,95.41,0,0,0,0,0,low
VOLLEYBALL,81.46,95.57,80.55,169.57,41.92,149.19,48.31,1,1,1,1,3,critical
VOLLEYBALL,107.79,144.81,100.61,147.52,19.42,164.02,82.35,0,1,0,0,1,moderate
CYCLING,79.44,107.76,67.92,117.3,47.78,147.8,53.21,1,1,1,1,3,critical
BASEBALL,141.11,157.15,112.09,157.03,22.87,171.94,72.9,0,0,0,1,0,low
SOCCER,151.77,157.08,151.74,90.85,10.14,170.96,92.05,0,0,0,0,0,low
SWIMMING,106.9,126.46,68.36,182.02,23.83,149.76,68.76,0,1,0,1,2,high
TENNIS,101.1,114.48,65.6,185.0,39.02,155.56,62.79,0,1,1,1,2,high
CYCLING,94.37,98.04,61.38,117.26,60.02,141.12,58.83,1,1,1,1,3,critical
